Diametro;Simple efecto;Doble efecto 
32;0.900.009.220;0.900.006.001
40;0.900.009.221;0.900.009.201
52;0.900.009.238;0.900.009.218
63;0.900.009.223;0.900.009.203
75;0.900.009.224;0.900.009.204
83;0.900.009.225;0.900.009.205
92;0.900.009.226;0.900.009.206
105;0.900.009.227;0.900.009.207
125;0.900.009.228;0.900.009.208
140;0.900.009.229;0.900.009.209
160;0.900.009.230;0.900.009.210
190;0.900.009.231;0.900.009.211
210;0.900.009.232;0.900.009.212
240;0.900.009.233;0.900.009.213
270;0.900.009.234;0.900.009.214
300;0.900.009.235;0.900.009.215
350;0.900.009.236;0.900.009.216
400;0.900.009.237;0.900.009.217
