;;4 bar;;5 bar;;6 bar;;7 bar;;Torque resorte según carrera actuador;;Cuadrado 
Ø;Cantidad Resortes;0°;90°;0°;90°;0°;90°;0°;90°;0°;90°;Tamaño 
32;2;;;4.76;0.92;6.26;2.42;7.26;3.42;2.74;6.58;9
40;2;;;7.59;1.18;9.93;3.52;11.5;5.9;4.13;10.54;11
52;10;8.74;4.24;12.9;8.4;17.06;12.56;;;7.9;12.4;11
63;10;15.3;7.7;22.6;15;29.9;22.3;37.2;29.6;14;21.6;14
75;10;23.3;12;35.1;23.8;46.8;35.5;58.6;47.3;23.7;35;14
83;10;31.6;17.2;46.8;32.4;62;47.6;77.1;62.7;29;43.4;17
92;10;50.04;25.04;75.3;50.3;100.56;75.56;125.82;100.82;51;76;17
105;10;70.4;37.2;103.3;70.1;137.5;104;171.2;138;66.4;99.6;22
125;10;114.4;59.4;172.7;117.7;231;176;;;118.8;173.8;22
140;10;174;87;261.7;174.7;349.4;262.4;437.8;350.1;177;264;27
160;10;261.8;126.7;395.5;260.4;529.2;394.1;;;237;408.1;27
190;10;427.1;209.9;642.6;425.4;858.1;640.9;1073.6;856.4;434.8;652;36
210;10;586.9;289;883;585.1;1179.1;881.2;1475.2;1177.3;597.6;895.5;36
240;10;919.7;452.6;1383.9;916.8;1848.1;1381;2312.2;1845.1;936.9;1404;46
270;10;1293.9;636.9;1946.6;1289.6;2599.3;1942.3;3252;2595;1317;1974;46
300;10;1652;977;2473;1778;3274;2579;4075;3380;1533;2228;46
350;10;2335;1223;3535;2423;4734;3622;5934;4822;2463;3575;46
400;10;3531;1652;5240;3361;6949;5070;8658;6779;3306;5185;55
